workflow_id,issuer_name,branch,workflow_event_trigger,build_duration,total_builds,dependencies_count,workflow_size,gh_sloc,gh_test_lines_per_kloc,total_jobs,tests_ran,gh_files_added,gh_files_deleted,gh_files_modified,gh_lines_added,gh_lines_deleted,gh_src_churn,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_files,gh_doc_files,gh_other_files,gh_commits_on_files_touched,dockerfile_changed,docker_compose_changed,git_num_committers,git_commits,gh_team_size_last_3_month,gh_is_pr,gh_num_pr_comments,gh_description_complexity,yaml_has_caching,yaml_has_concurrency,yaml_has_self_hosted,yaml_has_matrix,yaml_max_matrix_size,yaml_services_count,yaml_total_steps,ct_commit_available,is_workflow_commit,workflow_run_count,ct_commit_files,ct_commit_additions,ct_commit_deletions,ct_commit_total_changes,ct_unique_top_dirs,ct_unique_extensions,ct_service_like_dirs_touched,ct_shared_component_touched,ct_workflow_touched,ct_docker_touched,ct_k8s_touched,ct_api_contract_touched,ct_config_touched,ct_infra_touched,ct_scripts_ops_touched,ct_tests_touched,ct_docs_touched,ct_build_manifest_touched,ct_frontend_touched,ct_backend_code_touched,ps_patch_commit_available,ps_patch_files_available,ps_patch_files_missing,ps_patch_hunks,ps_patch_changed_lines,ps_patch_blank_changed_lines,ps_patch_comment_changed_lines,ps_patch_code_changed_lines,ps_import_changed_lines,ps_workflow_patch_files,ps_workflow_step_changed,ps_workflow_run_changed,ps_workflow_uses_changed,ps_workflow_matrix_changed,ps_workflow_timeout_changed,ps_workflow_services_changed,ps_workflow_permissions_changed,ps_workflow_trigger_changed,ps_workflow_needs_if_changed,ps_workflow_action_version_bumps,ps_build_manifest_patch_files,ps_lockfile_patch_files,ps_dependency_version_lines_changed,ps_dependency_declaration_changed,ps_build_task_lines_changed,ps_docker_patch_files,ps_docker_base_image_changes,ps_docker_run_instruction_changes,ps_docker_env_changes,ps_docker_expose_changes,ps_docker_package_install_changes,ps_k8s_patch_files,ps_k8s_image_changes,ps_k8s_env_changes,ps_k8s_resource_changes,ps_k8s_probe_changes,ps_k8s_replica_changes,ps_k8s_port_changes,ps_compose_patch_files,ps_compose_service_changes,ps_compose_port_changes,ps_compose_volume_changes,ps_api_patch_files,ps_http_endpoint_changed,ps_config_patch_files,ps_env_key_changed,ps_url_or_host_changed,ps_test_patch_files,ps_test_case_changed,ps_assert_changed,ps_skip_test_changed,ps_logging_changed,ps_exception_changed,ps_todo_fixme_changed,hour,dow,month,day_or_night,project_age_days,duration_lag_1,window_avg_7,ft_ms_workflow_yaml,ft_ms_api_contracts,ft_ms_jvm_build_and_code,ft_ms_frontend_web,ft_ms_scripts_ops,ft_ms_config_data
9020027,3,2,0,3374.0,5501,0,153,4805,0.0,7,1,0,0,1,26,0,26,0,0,0,1,0,0,0,0,0,13,11167,0,1,4,137,0,1,0,1,18,0,14,1,1,1,1,26,0,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,26,2,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0.0005671296296296297,1854.0,1750.5714285714287,0.0,0.0,0.0,0.0,0.0,0.0
9020027,3,2,0,3216.0,5500,0,153,4805,0.0,7,1,0,0,2,1,2,3,0,1,1,1,0,0,0,0,0,13,11167,0,0,0,0,0,1,0,1,18,0,14,1,1,1,2,1,2,3,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0.0007754629629629629,3374.0,1979.5714285714287,0.0,0.0,0.0,0.0,1.0,0.0
9020027,3,2,0,3667.0,5499,0,153,1253678,355.5362700789198,7,1,0,0,5,67,33,100,0,0,0,5,0,0,0,0,0,13,11167,0,0,0,0,0,1,0,1,18,0,14,1,1,1,5,67,33,100,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,17,100,6,9,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0.0005902777777777778,3216.0,2181.285714285714,0.0,0.0,0.0,0.0,0.0,0.0
9020027,3,2,0,3802.0,5498,0,153,1214576,352.65393026043654,7,1,0,0,5,74,36,110,0,0,0,5,0,0,0,0,0,13,10891,0,0,0,0,0,1,0,1,18,0,14,1,1,1,5,74,36,110,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,19,110,7,10,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0.0007407407407407407,3667.0,2454.0,0.0,0.0,0.0,0.0,0.0,0.0
9020027,3,2,0,3784.0,5497,0,153,1214588,352.6504460771883,7,1,0,0,8,91,29,120,0,0,0,8,0,0,0,0,0,13,10891,0,0,0,0,0,1,0,1,18,0,14,1,1,1,8,91,29,120,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,19,120,9,24,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0.00042824074074074075,3802.0,2777.285714285714,0.0,0.0,0.0,0.0,0.0,0.0
9020027,4,2,0,1754.0,5496,0,153,4805,0.0,7,1,0,0,10,487,20,507,0,0,0,10,0,0,0,0,0,13,11167,0,0,0,0,0,1,0,1,18,0,14,1,1,1,10,487,20,507,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,26,507,61,38,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0.04061342592592593,3784.0,3064.5714285714284,0.0,0.0,0.0,0.0,0.0,0.0
9020027,4,2,0,1756.0,5495,0,153,4805,0.0,7,1,0,0,10,489,23,512,0,0,0,10,0,0,0,0,0,13,11167,0,0,0,0,0,1,0,1,18,0,14,1,1,1,10,489,23,512,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,26,512,62,38,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,1,0.0014699074074074074,1754.0,3064.4285714285716,0.0,0.0,0.0,0.0,0.0,0.0
9020027,49,2,0,1865.0,5493,0,153,1254037,355.5804174836947,7,1,0,0,3,669,98,767,226,43,269,2,0,0,0,0,0,13,11169,0,1,21,237,0,1,0,1,18,0,14,1,1,1,3,669,98,767,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,6,767,73,118,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,10,0,4,1,0.00017361111111111112,1756.0,3050.4285714285716,0.0,0.0,0.0,0.0,0.0,0.0
9020027,43,2,0,1758.0,5491,0,153,4805,0.0,7,1,0,0,1,1,1,2,1,1,2,0,0,0,0,0,0,13,11151,0,1,15,149,0,1,0,1,18,0,14,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,4,1,0.0008449074074074074,1865.0,2834.8571428571427,0.0,0.0,0.0,0.0,1.0,0.0
9020027,46,2,0,1602.0,5490,0,153,1217170,353.5274448105031,7,1,0,0,1,1,1,2,1,1,2,0,0,0,0,0,0,13,10897,0,1,21,555,0,1,0,1,18,0,14,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,4,1,0.0006481481481481481,1758.0,2626.5714285714284,0.0,0.0,0.0,0.0,1.0,0.0
