branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,yaml_has_caching,yaml_has_concurrency,yaml_has_self_hosted,yaml_has_matrix,yaml_max_matrix_size,yaml_services_count,yaml_total_steps,ct_commit_available,is_workflow_commit,workflow_run_count,ct_commit_files,ct_commit_additions,ct_commit_deletions,ct_commit_total_changes,ct_unique_top_dirs,ct_unique_extensions,ct_service_like_dirs_touched,ct_shared_component_touched,ct_workflow_touched,ct_docker_touched,ct_k8s_touched,ct_api_contract_touched,ct_config_touched,ct_infra_touched,ct_scripts_ops_touched,ct_tests_touched,ct_docs_touched,ct_build_manifest_touched,ct_frontend_touched,ct_backend_code_touched,ps_patch_commit_available,ps_patch_files_available,ps_patch_files_missing,ps_patch_hunks,ps_patch_changed_lines,ps_patch_blank_changed_lines,ps_patch_comment_changed_lines,ps_patch_code_changed_lines,ps_import_changed_lines,ps_workflow_patch_files,ps_workflow_step_changed,ps_workflow_run_changed,ps_workflow_uses_changed,ps_workflow_matrix_changed,ps_workflow_timeout_changed,ps_workflow_services_changed,ps_workflow_permissions_changed,ps_workflow_trigger_changed,ps_workflow_needs_if_changed,ps_workflow_action_version_bumps,ps_build_manifest_patch_files,ps_lockfile_patch_files,ps_dependency_version_lines_changed,ps_dependency_declaration_changed,ps_build_task_lines_changed,ps_docker_patch_files,ps_docker_base_image_changes,ps_docker_run_instruction_changes,ps_docker_env_changes,ps_docker_expose_changes,ps_docker_package_install_changes,ps_k8s_patch_files,ps_k8s_image_changes,ps_k8s_env_changes,ps_k8s_resource_changes,ps_k8s_probe_changes,ps_k8s_replica_changes,ps_k8s_port_changes,ps_compose_patch_files,ps_compose_service_changes,ps_compose_port_changes,ps_compose_volume_changes,ps_api_patch_files,ps_http_endpoint_changed,ps_config_patch_files,ps_env_key_changed,ps_url_or_host_changed,ps_test_patch_files,ps_test_case_changed,ps_assert_changed,ps_skip_test_changed,ps_logging_changed,ps_exception_changed,ps_todo_fixme_changed,hour,dow,month,day_or_night,project_age_days,duration_lag_1,window_avg_7,ft_ms_workflow_yaml,ft_ms_api_contracts,ft_ms_jvm_build_and_code,ft_ms_frontend_web,ft_ms_scripts_ops,ft_ms_config_data
1,1,27,51073,626.0,6836,0,0,2,1,3,3,0,0,0,6,1,61294,129,0,0,2,361,17141,7,16,1436,1,499.96737037882986,0,237.0,0,0,1,1,0,0,0,0,47,1.0,1.0,1.0,2.0,3.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,0,2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,7,0,2.3148148148148147e-05,657.0,554.8571428571429,0.0,0.0,0.0,0.0,0.0,1.0
2,0,27,51073,673.0,6835,0,0,2,1,3,3,0,0,0,6,1,61294,133,0,0,2,361,17141,7,16,1436,1,499.96737037882986,0,237.0,0,0,1,1,0,0,0,0,47,1.0,1.0,1.0,2.0,3.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,0,2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,7,1,6.944444444444444e-05,626.0,554.4285714285714,0.0,0.0,0.0,0.0,0.0,1.0
1,1,27,51073,658.0,6834,0,0,2,1,3,3,0,0,0,6,1,61294,133,0,0,2,361,17141,7,16,1435,1,499.96737037882986,0,237.0,0,0,1,1,0,0,0,0,47,1.0,1.0,1.0,2.0,3.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,0,2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,7,1,2.3148148148148147e-05,673.0,604.1428571428571,0.0,0.0,0.0,0.0,0.0,1.0
2,0,27,51073,677.0,6833,0,0,2,1,3,3,0,0,0,6,1,61294,137,0,0,2,361,17143,7,16,1434,1,499.96737037882986,0,237.0,0,0,1,1,0,0,0,0,47,1.0,1.0,1.0,2.0,3.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,0,2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,7,1,6.944444444444444e-05,658.0,613.7142857142857,0.0,0.0,0.0,0.0,0.0,1.0
1,1,27,51073,632.0,6832,0,0,2,1,3,3,0,0,0,6,1,61294,137,0,0,2,361,17143,7,16,1434,1,499.96737037882986,0,237.0,0,0,1,1,0,0,0,0,47,1.0,1.0,1.0,2.0,3.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,0,2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,7,1,3.472222222222222e-05,677.0,618.8571428571429,0.0,0.0,0.0,0.0,0.0,1.0
2,0,27,51073,671.0,6831,0,0,2,1,3,3,0,0,0,6,1,61294,137,0,0,2,361,17143,7,16,1433,0,499.96737037882986,0,237.0,0,0,1,1,0,0,0,0,47,1.0,1.0,1.0,2.0,3.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,0,2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,7,1,9.259259259259259e-05,632.0,654.5714285714286,0.0,0.0,0.0,0.0,0.0,1.0
1,1,27,51073,671.0,6829,0,0,2,1,3,3,0,0,0,6,1,61294,137,0,0,2,361,17143,7,16,1433,0,499.96737037882986,0,237.0,0,0,1,1,0,0,0,0,47,1.0,1.0,1.0,2.0,3.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,0,2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,7,1,3.472222222222222e-05,671.0,656.2857142857143,0.0,0.0,0.0,0.0,0.0,1.0
2,0,27,51073,541.0,6828,0,0,2,1,3,3,0,0,0,6,0,61294,0,1,0,1,361,17143,7,16,789,0,499.96737037882986,0,237.0,1,0,1,1,0,0,0,0,47,1.0,1.0,1.0,2.0,3.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,0,2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,7,0,6.944444444444444e-05,671.0,658.2857142857143,0.0,0.0,0.0,0.0,0.0,1.0
2,0,27,51073,628.0,6827,0,0,2,1,4,4,0,0,0,8,1,61294,214,0,0,2,361,17143,7,16,1433,1,499.96737037882986,0,237.0,0,0,1,1,0,0,0,0,47,1.0,1.0,1.0,2.0,4.0,4.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,0,3,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,7,0,5.787037037037037e-05,541.0,646.1428571428571,0.0,0.0,0.0,0.0,0.0,1.0
2,0,27,51073,536.0,6826,0,0,3,1,3,3,0,0,0,6,1,61294,163,1,0,2,361,17143,7,16,912,1,499.96737037882986,0,237.0,1,0,1,1,0,0,0,0,47,1.0,1.0,1.0,3.0,3.0,3.0,6.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,3,0,3,6,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,7,0,5.787037037037037e-05,628.0,639.7142857142857,1.0,0.0,0.0,0.0,0.0,1.0
