branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,yaml_has_caching,yaml_has_concurrency,yaml_has_self_hosted,yaml_has_matrix,yaml_max_matrix_size,yaml_services_count,yaml_total_steps,ct_commit_available,is_workflow_commit,workflow_run_count,ct_commit_files,ct_commit_additions,ct_commit_deletions,ct_commit_total_changes,ct_unique_top_dirs,ct_unique_extensions,ct_service_like_dirs_touched,ct_shared_component_touched,ct_workflow_touched,ct_docker_touched,ct_k8s_touched,ct_api_contract_touched,ct_config_touched,ct_infra_touched,ct_scripts_ops_touched,ct_tests_touched,ct_docs_touched,ct_build_manifest_touched,ct_frontend_touched,ct_backend_code_touched,ps_patch_commit_available,ps_patch_files_available,ps_patch_files_missing,ps_patch_hunks,ps_patch_changed_lines,ps_patch_blank_changed_lines,ps_patch_comment_changed_lines,ps_patch_code_changed_lines,ps_import_changed_lines,ps_workflow_patch_files,ps_workflow_step_changed,ps_workflow_run_changed,ps_workflow_uses_changed,ps_workflow_matrix_changed,ps_workflow_timeout_changed,ps_workflow_services_changed,ps_workflow_permissions_changed,ps_workflow_trigger_changed,ps_workflow_needs_if_changed,ps_workflow_action_version_bumps,ps_build_manifest_patch_files,ps_lockfile_patch_files,ps_dependency_version_lines_changed,ps_dependency_declaration_changed,ps_build_task_lines_changed,ps_docker_patch_files,ps_docker_base_image_changes,ps_docker_run_instruction_changes,ps_docker_env_changes,ps_docker_expose_changes,ps_docker_package_install_changes,ps_k8s_patch_files,ps_k8s_image_changes,ps_k8s_env_changes,ps_k8s_resource_changes,ps_k8s_probe_changes,ps_k8s_replica_changes,ps_k8s_port_changes,ps_compose_patch_files,ps_compose_service_changes,ps_compose_port_changes,ps_compose_volume_changes,ps_api_patch_files,ps_http_endpoint_changed,ps_config_patch_files,ps_env_key_changed,ps_url_or_host_changed,ps_test_patch_files,ps_test_case_changed,ps_assert_changed,ps_skip_test_changed,ps_logging_changed,ps_exception_changed,ps_todo_fixme_changed,hour,dow,month,day_or_night,project_age_days,duration_lag_1,window_avg_7,ft_ms_workflow_yaml,ft_ms_api_contracts,ft_ms_jvm_build_and_code,ft_ms_frontend_web,ft_ms_scripts_ops,ft_ms_config_data
2,0,1,83806327,230.0,1614,0,0,1,0,2,1,0,0,0,3,0,7803,0,0,0,1,6,164,3,5,75,0,11.534025374855824,0,112.0,0,0,1,0,0,0,0,0,15,1,1,1,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,7,1,0.0003125,207.0,216.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0,2,83806327,299.0,1612,1,0,17,0,94,146,13,21,34,240,0,7732,0,4,0,13,6,166,3,5,223,0,10.605276771857218,0,112.0,0,0,1,0,0,0,0,0,15,1,1,1,18,94,146,240,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,18,0,48,240,16,1,223,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,3,8,1,0.0004166666666666667,230.0,219.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0,2,83806327,195.0,1611,0,0,3,0,23,21,0,0,0,44,1,7732,24,1,0,2,6,166,3,5,186,1,10.605276771857218,0,112.0,0,0,1,0,0,0,0,0,15,1,1,1,3,23,21,44,2,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,0,6,44,0,0,44,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,3,8,1,1.876076388888889,299.0,232.14285714285714,0.0,0.0,0.0,1.0,0.0,1.0
2,0,2,83806327,269.0,1609,1,0,17,0,94,146,13,21,34,240,1,7706,78,4,0,13,6,169,3,5,223,1,10.641058915131069,0,112.0,0,0,1,0,0,0,0,0,15,1,1,1,18,94,146,240,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,18,0,48,240,16,1,223,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,3,8,1,0.000462962962962963,195.0,229.42857142857142,0.0,0.0,0.0,1.0,0.0,0.0
2,0,1,83806327,235.0,1607,0,0,2,0,2,43,0,0,0,45,1,7706,20,1,0,1,6,169,3,5,76,1,10.641058915131069,0,112.0,0,0,1,0,0,0,0,0,15,1,1,1,2,2,43,45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,5,45,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,8,1,0.0004166666666666667,269.0,235.57142857142858,0.0,0.0,0.0,1.0,0.0,0.0
2,0,2,83806327,260.0,1606,0,0,5,0,138,123,0,0,0,261,0,7706,0,1,0,4,6,169,3,5,61,0,10.641058915131069,0,112.0,0,0,1,0,0,0,0,0,15,1,1,1,5,138,123,261,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,8,261,4,4,253,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,8,1,0.007881944444444445,235.0,238.14285714285714,0.0,0.0,0.0,1.0,0.0,0.0
1,1,1,83806327,510.0,1605,0,0,8,1,25,53,0,0,0,78,1,7706,20,3,0,5,6,169,3,5,76,1,10.641058915131069,0,112.0,0,0,1,0,0,0,0,0,15,1,1,1,2,2,43,45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,5,45,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,8,1,3.472222222222222e-05,260.0,242.14285714285714,1.0,0.0,0.0,1.0,0.0,0.0
2,0,2,83806327,202.0,1604,0,0,5,0,138,123,0,0,0,261,1,7715,54,1,0,4,6,171,3,5,61,1,10.628645495787428,0,112.0,0,0,1,0,0,0,0,0,15,1,1,1,5,138,123,261,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,8,261,4,4,253,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8,1,0.0004398148148148148,510.0,285.42857142857144,0.0,0.0,0.0,1.0,0.0,0.0
2,0,2,83806327,188.0,1602,0,0,2,0,13,11,0,0,0,24,1,7715,27,1,0,1,6,171,3,5,158,1,10.628645495787428,0,112.0,0,0,1,0,0,0,0,0,15,1,1,1,2,13,11,24,2,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2,0,2,24,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,4,8,1,0.0028356481481481483,202.0,281.42857142857144,0.0,0.0,0.0,1.0,0.0,1.0
1,1,2,83806327,3121.0,1601,0,0,2,1,13,11,0,0,0,24,1,7715,27,1,0,1,6,171,3,5,158,1,10.628645495787428,0,112.0,0,0,1,0,0,0,0,0,15,1,1,1,2,13,11,24,2,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2,0,2,24,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,4,8,1,2.3148148148148147e-05,188.0,265.57142857142856,0.0,0.0,0.0,1.0,0.0,1.0
