branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,yaml_has_caching,yaml_has_concurrency,yaml_has_self_hosted,yaml_has_matrix,yaml_max_matrix_size,yaml_services_count,yaml_total_steps,ct_commit_available,is_workflow_commit,workflow_run_count,ct_commit_files,ct_commit_additions,ct_commit_deletions,ct_commit_total_changes,ct_unique_top_dirs,ct_unique_extensions,ct_service_like_dirs_touched,ct_shared_component_touched,ct_workflow_touched,ct_docker_touched,ct_k8s_touched,ct_api_contract_touched,ct_config_touched,ct_infra_touched,ct_scripts_ops_touched,ct_tests_touched,ct_docs_touched,ct_build_manifest_touched,ct_frontend_touched,ct_backend_code_touched,ps_patch_commit_available,ps_patch_files_available,ps_patch_files_missing,ps_patch_hunks,ps_patch_changed_lines,ps_patch_blank_changed_lines,ps_patch_comment_changed_lines,ps_patch_code_changed_lines,ps_import_changed_lines,ps_workflow_patch_files,ps_workflow_step_changed,ps_workflow_run_changed,ps_workflow_uses_changed,ps_workflow_matrix_changed,ps_workflow_timeout_changed,ps_workflow_services_changed,ps_workflow_permissions_changed,ps_workflow_trigger_changed,ps_workflow_needs_if_changed,ps_workflow_action_version_bumps,ps_build_manifest_patch_files,ps_lockfile_patch_files,ps_dependency_version_lines_changed,ps_dependency_declaration_changed,ps_build_task_lines_changed,ps_docker_patch_files,ps_docker_base_image_changes,ps_docker_run_instruction_changes,ps_docker_env_changes,ps_docker_expose_changes,ps_docker_package_install_changes,ps_k8s_patch_files,ps_k8s_image_changes,ps_k8s_env_changes,ps_k8s_resource_changes,ps_k8s_probe_changes,ps_k8s_replica_changes,ps_k8s_port_changes,ps_compose_patch_files,ps_compose_service_changes,ps_compose_port_changes,ps_compose_volume_changes,ps_api_patch_files,ps_http_endpoint_changed,ps_config_patch_files,ps_env_key_changed,ps_url_or_host_changed,ps_test_patch_files,ps_test_case_changed,ps_assert_changed,ps_skip_test_changed,ps_logging_changed,ps_exception_changed,ps_todo_fixme_changed,hour,dow,month,day_or_night,project_age_days,duration_lag_1,window_avg_7,ft_ms_workflow_yaml,ft_ms_api_contracts,ft_ms_jvm_build_and_code,ft_ms_frontend_web,ft_ms_scripts_ops,ft_ms_config_data
1,1,1,69576399,1130.0,1064,1,0,3,1,40,20,0,0,0,60,1,2125201,13,0,0,4,50,26617,2,9,2,0,117.02046065289824,0,85,0,0,0,0,0,1,2,0,6,1,1,1,4,40,20,60,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,9,60,9,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,0,2.3148148148148147e-05,1135.0,1120.7142857142858,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,69576399,1110.0,1063,1,0,17,1,108,69,0,0,0,177,1,2125201,18,18,0,0,50,26617,2,9,272,0,117.02046065289824,0,85,0,0,0,0,0,1,2,0,6,1,1,1,18,108,69,177,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,55,177,18,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,0,0.00028935185185185184,1130.0,1119.4285714285713,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,69576399,1144.0,1062,1,0,17,1,108,69,0,0,0,177,1,2125201,18,18,0,0,50,26618,2,9,272,0,117.02046065289824,0,85,0,0,0,0,0,1,2,0,6,1,1,1,18,108,69,177,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,55,177,18,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,7,1,3.472222222222222e-05,1110.0,1120.857142857143,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,69576399,1114.0,1060,0,0,1,1,1,1,0,0,0,2,1,2125201,2,0,1,0,50,26620,2,9,6,0,117.02046065289824,0,85,0,0,0,0,0,1,2,0,6,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,7,1,0.0001388888888888889,1144.0,1119.7142857142858,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,69576399,1115.0,1059,0,0,1,1,1,1,0,0,0,2,1,2125201,2,0,1,0,50,26620,2,9,6,0,117.02046065289824,0,85,0,0,0,0,0,1,2,0,6,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,7,1,2.3148148148148147e-05,1114.0,1123.5714285714287,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,69576399,1088.0,1058,10,0,0,1,658,0,0,0,0,658,1,2125201,2,0,0,10,50,26620,2,9,4,0,117.02046065289824,0,85,0,0,0,0,0,1,2,0,6,1,1,1,10,658,0,658,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,658,200,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,7,0,0.00034722222222222224,1115.0,1125.4285714285713,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,69576399,1091.0,1057,6,0,5,1,509,3,0,0,0,512,1,2125201,2,0,1,10,50,26620,2,9,10,0,117.02046065289824,0,85,0,0,0,0,0,1,2,0,6,1,1,1,11,509,3,512,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,8,512,156,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,7,0,2.3148148148148147e-05,1088.0,1119.4285714285713,0.0,0.0,0.0,0.0,0.0,0.0
2,0,6,69576399,1105.0,1056,0,0,2,1,5,4,0,0,0,9,1,2125201,52,0,0,2,50,26620,2,8,7,0,117.02046065289824,0,85,0,0,0,0,0,1,2,0,6,1,1,1,2,5,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,9,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,7,0,0.010428240740740741,1091.0,1113.142857142857,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,69576399,1100.0,1055,0,0,2,1,5,4,0,0,0,9,1,2125201,52,0,0,2,50,26622,2,9,7,0,117.02046065289824,0,85,0,0,0,0,0,1,2,0,6,1,1,1,2,5,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,9,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,7,1,3.472222222222222e-05,1105.0,1109.5714285714287,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,69576399,1123.0,1054,0,0,2,1,6,2,0,0,0,8,1,2125201,10,0,0,2,50,26623,2,9,4,0,117.02046065289824,0,85,0,0,0,0,0,1,2,0,6,1,1,1,2,6,2,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,8,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,7,1,0.0009375,1100.0,1108.142857142857,0.0,0.0,0.0,0.0,0.0,0.0
