branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,yaml_has_caching,yaml_has_concurrency,yaml_has_self_hosted,yaml_has_matrix,yaml_max_matrix_size,yaml_services_count,yaml_total_steps,ct_commit_available,is_workflow_commit,workflow_run_count,ct_commit_files,ct_commit_additions,ct_commit_deletions,ct_commit_total_changes,ct_unique_top_dirs,ct_unique_extensions,ct_service_like_dirs_touched,ct_shared_component_touched,ct_workflow_touched,ct_docker_touched,ct_k8s_touched,ct_api_contract_touched,ct_config_touched,ct_infra_touched,ct_scripts_ops_touched,ct_tests_touched,ct_docs_touched,ct_build_manifest_touched,ct_frontend_touched,ct_backend_code_touched,ps_patch_commit_available,ps_patch_files_available,ps_patch_files_missing,ps_patch_hunks,ps_patch_changed_lines,ps_patch_blank_changed_lines,ps_patch_comment_changed_lines,ps_patch_code_changed_lines,ps_import_changed_lines,ps_workflow_patch_files,ps_workflow_step_changed,ps_workflow_run_changed,ps_workflow_uses_changed,ps_workflow_matrix_changed,ps_workflow_timeout_changed,ps_workflow_services_changed,ps_workflow_permissions_changed,ps_workflow_trigger_changed,ps_workflow_needs_if_changed,ps_workflow_action_version_bumps,ps_build_manifest_patch_files,ps_lockfile_patch_files,ps_dependency_version_lines_changed,ps_dependency_declaration_changed,ps_build_task_lines_changed,ps_docker_patch_files,ps_docker_base_image_changes,ps_docker_run_instruction_changes,ps_docker_env_changes,ps_docker_expose_changes,ps_docker_package_install_changes,ps_k8s_patch_files,ps_k8s_image_changes,ps_k8s_env_changes,ps_k8s_resource_changes,ps_k8s_probe_changes,ps_k8s_replica_changes,ps_k8s_port_changes,ps_compose_patch_files,ps_compose_service_changes,ps_compose_port_changes,ps_compose_volume_changes,ps_api_patch_files,ps_http_endpoint_changed,ps_config_patch_files,ps_env_key_changed,ps_url_or_host_changed,ps_test_patch_files,ps_test_case_changed,ps_assert_changed,ps_skip_test_changed,ps_logging_changed,ps_exception_changed,ps_todo_fixme_changed,hour,dow,month,day_or_night,project_age_days,duration_lag_1,window_avg_7,ft_ms_workflow_yaml,ft_ms_api_contracts,ft_ms_jvm_build_and_code,ft_ms_frontend_web,ft_ms_scripts_ops,ft_ms_config_data
2,0,1,75763098,116.0,1089,0,0,2,0,1,1,0,0,0,2,0,490597,0,2,0,0,91,7594,3,8,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,1,2,8,8,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,2,7,1,4.6296296296296294e-05,111.0,378.14285714285717,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,75763098,28.0,1087,0,0,2,0,1,1,0,0,0,2,1,490597,439,2,0,0,91,7604,3,8,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,16,16,32,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,6,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,16,2,7,1,6.417083333333333,116.0,354.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,75763098,27.0,1085,0,0,2,0,1,1,0,0,0,2,1,490597,289,2,0,0,91,7604,3,8,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,8,8,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,16,2,7,1,7.424513888888889,28.0,137.14285714285714,0.0,0.0,0.0,0.0,0.0,1.0
1,1,0,75763098,104.0,1083,0,0,2,0,1,1,0,0,0,2,1,490597,325,2,0,0,91,7604,3,8,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,1,2,8,8,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,16,2,7,1,3.472222222222222e-05,27.0,88.42857142857143,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,75763098,28.0,1084,0,0,4,0,2,2,0,0,0,4,1,490597,325,4,0,0,91,7604,3,8,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,8,8,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,16,2,7,1,1.4102546296296297,104.0,87.85714285714286,0.0,0.0,0.0,0.0,0.0,1.0
2,0,1,75763098,106.0,1080,0,0,2,0,1,1,0,0,0,2,0,490597,0,2,0,0,91,7604,3,8,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,1,2,15326,20759,36085,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,2,7,1,4.6296296296296294e-05,28.0,76.28571428571429,0.0,0.0,0.0,0.0,0.0,1.0
2,0,1,75763098,149.0,1079,0,0,2,0,1,1,0,0,0,2,1,490597,289,2,0,0,91,7604,3,8,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,8,8,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,16,2,7,1,4.6296296296296294e-05,106.0,74.28571428571429,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,75763098,27.0,1076,0,0,3,0,2,2,0,0,0,4,0,490597,0,2,0,1,91,7604,3,8,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,1,2,42,180,222,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,18,222,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,2,1,124,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,0,0,0,0,0,0,0,16,2,7,1,0.0018287037037037037,149.0,79.71428571428571,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,75763098,30.0,1075,0,0,2,0,1,1,0,0,0,2,0,490597,0,2,0,0,91,7604,3,8,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,1,2,42,180,222,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,18,222,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,2,1,124,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,0,0,0,0,0,0,0,16,2,7,1,0.001875,27.0,67.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,75763098,28.0,1073,0,0,4,0,2,2,0,0,0,4,1,490597,289,4,0,0,91,7604,3,8,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,8,8,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,16,2,7,1,0.002013888888888889,30.0,67.28571428571429,0.0,0.0,0.0,0.0,0.0,1.0
1,1,0,75763098,104.0,1072,0,0,2,0,1,1,0,0,0,2,1,490597,289,2,0,0,91,7604,3,8,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,1,2,8,8,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,16,2,7,1,3.472222222222222e-05,28.0,67.42857142857143,0.0,0.0,0.0,0.0,0.0,1.0
2,0,1,75763098,107.0,1070,0,0,3,0,2,2,0,0,0,4,1,490597,374,2,0,1,91,7604,3,8,224,1,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,15326,20759,36085,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,2,7,1,4.6296296296296294e-05,104.0,67.42857142857143,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,75763098,27.0,1069,0,0,4,0,2,2,0,0,0,4,1,490597,374,4,0,0,91,7604,3,8,224,1,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,15326,20759,36085,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,2,7,1,0.002337962962962963,107.0,78.71428571428571,0.0,0.0,0.0,0.0,0.0,1.0
1,1,0,75763098,110.0,1068,0,0,2,0,1,1,0,0,0,2,1,490597,374,2,0,0,91,7604,3,8,224,1,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,1,2,15326,20759,36085,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,2,7,1,2.3148148148148147e-05,27.0,67.42857142857143,0.0,0.0,0.0,0.0,0.0,1.0
2,0,1,75763098,114.0,1063,0,0,2,0,1,1,0,0,0,2,1,490597,289,2,0,0,91,7604,3,7,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,16,16,32,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,6,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,6,0,7,1,4.6296296296296294e-05,110.0,61.857142857142854,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,75763098,29.0,1062,0,0,2,0,1,1,0,0,0,2,0,490597,0,2,0,0,91,7605,3,7,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,1,2,9,9,18,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,20,1,7,0,5.597222222222222,114.0,74.28571428571429,0.0,0.0,0.0,0.0,0.0,1.0
1,1,0,75763098,114.0,1058,0,0,2,0,1,1,0,0,0,2,1,490597,289,2,0,0,91,7605,3,7,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,1,2,16,16,32,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,6,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,20,1,7,0,2.3148148148148147e-05,29.0,74.14285714285714,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,75763098,28.0,1057,0,0,2,0,1,1,0,0,0,2,1,490597,289,2,0,0,91,7605,3,7,224,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,16,16,32,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,6,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,20,1,7,0,1.5996412037037038,114.0,86.42857142857143,0.0,0.0,0.0,0.0,0.0,1.0
2,1,0,75763098,189.0,1056,0,0,2,0,1,1,0,0,0,2,1,489337,289,2,0,0,91,7605,1,7,224,0,0.0,0,106.0,0,0,1,0,0,0,0,0,15,1,1,1,2,9,9,18,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,20,1,7,0,3.472222222222222e-05,28.0,75.57142857142857,0.0,0.0,0.0,0.0,0.0,1.0
2,0,1,75763098,107.0,1055,0,0,2,0,1,1,0,0,0,2,1,490597,289,2,0,0,91,7605,3,7,222,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,8,8,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,3,8,1,6.944444444444444e-05,189.0,87.28571428571429,0.0,0.0,0.0,0.0,0.0,1.0
2,1,0,75763098,197.0,1054,0,0,2,0,1,1,0,0,0,2,1,489337,289,2,0,0,91,7606,1,7,221,0,0.0,0,106.0,0,0,1,0,0,0,0,0,15,1,1,1,2,5,5,10,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,3,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,16,3,8,1,3.472222222222222e-05,107.0,98.71428571428571,0.0,0.0,0.0,0.0,0.0,1.0
1,1,0,75763098,120.0,1052,0,0,2,0,1,1,0,0,0,2,1,490597,289,2,0,0,91,7606,3,7,221,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,1,2,8,8,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,16,3,8,1,2.3148148148148147e-05,197.0,111.14285714285714,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,75763098,29.0,1053,0,0,4,0,2,2,0,0,0,4,1,490597,289,4,0,0,91,7606,3,7,222,0,0.0264983275478651,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,8,8,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,16,3,8,1,0.40957175925925926,120.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,75763098,29.0,1050,0,0,3,0,2,2,0,0,0,4,0,578135,0,2,0,1,91,7610,3,7,221,0,0.0224860975377723,0,131.0,0,0,1,0,0,0,0,0,15,1,1,1,2,42,180,222,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,18,222,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,2,1,124,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,0,0,0,0,0,0,0,16,5,8,1,1.419548611111111,29.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,1,75763098,110.0,1049,2,0,5,0,87778,28,0,0,0,87806,1,578135,289,7,0,0,91,7610,3,7,220,0,0.0224860975377723,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,16,16,32,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,6,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,6,0,8,1,4.6296296296296294e-05,29.0,99.85714285714286,0.0,0.0,0.0,0.0,0.0,1.0
2,1,0,75763098,327.0,1047,0,0,2,0,1,1,0,0,0,2,1,489337,289,2,0,0,91,7611,1,7,220,0,0.0,0,106.0,0,0,1,0,0,0,0,0,15,1,1,1,2,9,9,18,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,15,0,8,1,3.472222222222222e-05,110.0,111.57142857142857,0.0,0.0,0.0,0.0,0.0,1.0
1,1,0,75763098,129.0,1045,0,0,2,0,1,1,0,0,0,2,1,578135,289,2,0,0,91,7611,3,7,220,0,0.0224860975377723,0,131.0,0,0,1,0,0,0,0,0,15,1,1,1,2,16,16,32,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,6,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,15,0,8,1,2.3148148148148147e-05,327.0,131.28571428571428,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,75763098,33.0,1046,0,0,4,0,2,2,0,0,0,4,1,578135,289,4,0,0,91,7611,3,7,220,0,0.0224860975377723,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,16,16,32,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,6,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,15,0,8,1,0.37907407407407406,129.0,134.42857142857142,0.0,0.0,0.0,0.0,0.0,1.0
2,1,0,75763098,204.0,1044,0,0,1,0,0,0,0,0,0,0,1,489337,398,1,0,0,91,7611,1,7,218,0,0.0,0,106.0,0,0,1,0,0,0,0,0,15,1,1,1,1,3,3,6,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,19,1,8,0,3.472222222222222e-05,33.0,111.0,0.0,0.0,0.0,0.0,0.0,1.0
2,1,0,75763098,241.0,1043,0,0,2,0,1,1,0,0,0,2,1,489337,405,2,0,0,91,7611,1,7,218,0,0.0,0,106.0,0,0,1,0,0,0,0,0,15,1,1,1,2,5,5,10,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,3,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,18,3,8,0,3.472222222222222e-05,204.0,123.0,0.0,0.0,0.0,0.0,0.0,1.0
2,1,0,75763098,213.0,1042,0,0,2,0,1,1,0,0,0,2,1,489337,357,2,0,0,91,7611,1,7,218,0,0.0,0,106.0,0,0,1,0,0,0,0,0,15,1,1,1,2,5,5,10,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,3,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,20,5,8,0,3.472222222222222e-05,241.0,153.28571428571428,0.0,0.0,0.0,0.0,0.0,1.0
2,0,1,75763098,109.0,1041,2,0,5,0,87687,7,0,0,0,87694,1,665613,289,7,0,0,91,7613,3,7,218,0,0.0195308685377238,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,8,8,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,0,8,1,4.6296296296296294e-05,213.0,179.57142857142858,0.0,0.0,0.0,0.0,0.0,1.0
1,1,0,75763098,105.0,1040,0,0,2,0,1,1,0,0,0,2,1,665613,289,2,0,0,91,7614,3,7,217,0,0.0195308685377238,0,131.0,0,0,1,0,0,0,0,0,15,1,1,1,2,8,8,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,23,0,8,0,3.472222222222222e-05,109.0,179.42857142857142,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,75763098,26.0,1039,0,0,2,0,1,1,0,0,0,2,1,665613,289,2,0,0,91,7614,3,7,218,0,0.0195308685377238,0,131.0,0,0,1,0,0,0,0,0,15,1,1,2,2,8,8,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,23,0,8,0,0.6938541666666667,105.0,147.71428571428572,0.0,0.0,0.0,0.0,0.0,1.0
